Name	Primary Author(s)	RSS Feed URL	Access	Description	Publishing Cadence	Tags	Status	Last Post
Lenny's Newsletter	Lenny Rachitsky	https://www.lennysnewsletter.com/feed	Freemium	The most-read product newsletter on Substack. Deeply researched essays and operator interviews on product, growth, retention, monetization, and PM careers. Tactical playbooks plus subscriber surveys from people at top tech companies.	Weekly	product-strategy, growth, career, leadership, interviews	Active	2026-06-03
Silicon Valley Product Group (SVPG)	Marty Cagan & SVPG partners	https://www.svpg.com/articles/feed/	Free	Foundational thinking on empowered product teams, the product operating model, discovery vs. delivery, and product leadership. From the author of Inspired, Empowered, and Transformed.	Others (Irregular)	product-strategy, product-operating-model, leadership, discovery, empowered-teams	Active	2026-04-27
Product Thinking	Melissa Perri	https://melissaperri.substack.com/feed	Freemium	Strategic product management, product leadership, scaling product orgs, and escaping the build trap. Companion to her podcast, answering listener questions on product strategy and management.	Weekly	product-strategy, leadership, build-trap, product-ops, scaling	Inactive	2024-09-23
The Beautiful Mess	John Cutler	https://cutlefish.substack.com/feed	Freemium	Reflective, systems-thinking essays (with diagrams and metaphors) on product development, org design, team dynamics, prioritization, and the messy realities of building products inside companies.	Weekly	product-strategy, org-design, prioritization, teams, systems-thinking	Active	2026-05-31
Shreyas Doshi (Free Newsletter)	Shreyas Doshi	https://shreyasdoshi.substack.com/feed	Freemium	Candid short-form essays on product thinking, product sense, execution, prioritization, and how senior PMs and leaders actually operate. Draws on experience at Stripe, Twitter, Google, and Yahoo.	Others (Irregular)	product-strategy, prioritization, product-sense, leadership, execution	Active	2026-05-31
Product Growth	Aakash Gupta	https://www.news.aakashg.com/feed	Freemium	One of the largest paid PM newsletters. Deep dives on growth PM, AI product management, monetization, activation/retention, case studies, and landing PM roles at AI companies.	Weekly	growth, ai-pm, career, monetization, case-studies	Active	2026-06-03
The Product Compass	Pawel Huryn	https://www.productcompass.pm/feed	Freemium	Practical PM frameworks, AI for PMs, product discovery, strategy, and leadership, with downloadable templates and step-by-step playbooks. Strong "learn by doing" orientation.	Weekly	product-strategy, ai-pm, discovery, frameworks, templates	Active	2026-06-05
Department of Product	Rich Holmes	https://departmentofproduct.substack.com/feed	Freemium	Product-led analysis of what real teams are building now, AI's impact on product work, and emerging tech trends. Includes teardowns and emerging-technology explainers for senior PMs.	Weekly	product-strategy, ai, tech-trends, teardowns, analysis	Active	2026-06-05
Roman Pichler	Roman Pichler	https://www.romanpichler.com/feed/	Free	Product strategy, roadmapping, product vision, OKRs, and agile product leadership, with templates and step-by-step frameworks for product people and product owners.	Monthly	product-strategy, roadmapping, vision, okrs, agile	Active	2026-05-11
Itamar Gilad's Newsletter	Itamar Gilad	https://itamargilad.com/feed/	Freemium	Evidence-guided product management from an ex-Google/Microsoft PM: goals, ideas, validation (GIST), prioritization, OKRs, and avoiding feature-factory traps, with templates and eBooks.	Fortnightly	product-strategy, prioritization, okrs, validation, evidence-guided	Active	2026-06-03
Product Talk	Teresa Torres	https://www.producttalk.org/feed/	Freemium	The definitive source on continuous product discovery: customer interviewing, the Opportunity Solution Tree, assumption testing, and outcome-driven discovery habits for product trios.	Fortnightly	discovery, continuous-discovery, user-research, interviewing, opportunity-solution-tree	Active	2026-06-04
Product Thoughts / Product Practice	Tim Herbig	https://herbig.co/feed/	Free	Hands-on product discovery, lateral leadership, OKRs, outcome-based roadmaps, and prioritization frameworks (e.g., RICE), bridging product theory and day-to-day practice with templates.	Weekly	discovery, okrs, prioritization, roadmapping, leadership	Active	2026-03-02
Bring the Donuts	Ken Norton	https://www.bringthedonuts.com/feed.xml	Free	Executive-coaching wisdom for product leaders from a former Google PM director: leadership, career growth, hiring, managing up, and the craft and art of product management.	Others (Irregular)	leadership, career, coaching, hiring, craft	Active	2026-01-07
One Knight in Product	Jason Knight	https://oneknightinproduct.substack.com/feed	Free	Curated product commentary, opinionated takes on product trends, and a long-running interview podcast with product leaders on strategy, roadmapping, B2B product, and stakeholder management.	Weekly	product-strategy, interviews, roadmapping, b2b, commentary	Active	2026-06-19
The Looking Glass	Julie Zhuo	https://lg.substack.com/feed	Freemium	A three-part monthly letter for product builders from Facebook's former VP of Product Design and author of The Making of a Manager. Covers product and design craft, leadership, and personal growth.	Monthly	leadership, design, management, product-craft, personal-growth	Active	2026-06-06
Rich Mironov's Product Bytes	Rich Mironov	https://richmironov.substack.com/feed	Free	Candid commentary on product strategy, B2B/enterprise product management, pricing, roadmaps, and the economics and politics of product orgs from a veteran product exec.	Monthly	product-strategy, b2b, enterprise, pricing, roadmapping	Active	2026-06-02
The PBL Newsletter	Ant Murphy	https://www.antmurphy.me/newsletter/rss.xml	Free	Weekly practical product advice on problem framing, prioritization, product strategy, and value creation, aimed at growing a PM's product and business impact.	Weekly	product-strategy, prioritization, problem-framing, frameworks, value	Active	2026-06-01
Product Management IRL	Amy Mitchell	https://amycmitchell.substack.com/feed	Freemium	Practical, authentic, sometimes contrarian advice on the real-world craft of PM: prioritization, team dynamics, stakeholder wrangling, and user advocacy, one bit at a time.	Weekly	product-craft, teams, stakeholder-management, prioritization, career	Active	2026-06-05
ONE THING	Bruce McCarthy	https://www.productculture.org/archive?format=rss	Free	Each issue delivers one product insight plus a recommended article, person, question, and job. Focused on product strategy fundamentals, roadmapping, alignment, and product culture.	Weekly	product-strategy, roadmapping, alignment, product-culture, curation	Active	2026-06-04
